pk,model,member,date,hours
5068,mks.weeklypresence,834,2010-02-07,38.0
5069,mks.weeklypresence,834,2010-02-14,25.0
5070,mks.weeklypresence,834,2010-02-21,25.0
5071,mks.weeklypresence,834,2010-02-28,14.0
5072,mks.weeklypresence,834,2010-03-07,26.0
5073,mks.weeklypresence,834,2010-03-14,38.0
5074,mks.weeklypresence,834,2010-03-21,0.0
5075,mks.weeklypresence,834,2010-04-04,0.0
5076,mks.weeklypresence,834,2010-04-11,3.0
5077,mks.weeklypresence,834,2010-04-18,3.0
5078,mks.weeklypresence,834,2010-04-25,29.0
5079,mks.weeklypresence,834,2010-05-02,27.0
5080,mks.weeklypresence,834,2010-05-09,8.0
5081,mks.weeklypresence,834,2010-05-16,8.0
5082,mks.weeklypresence,791,2009-11-15,14.0
5083,mks.weeklypresence,791,2009-11-29,10.0
5084,mks.weeklypresence,791,2009-12-13,4.0
